months_to_default_bucket,n_defaults,pct_of_all_defaults
0-1,376,0.7377177837074242
2-3,0,0.0
4-6,2888,5.666300423795322
7-9,5586,10.959817924972532
10-12,7168,14.063726259613876
13-18,15244,29.908962486265896
19-24,9874,19.372939883848687
25-36,8456,16.590802071888245
37+,1376,2.699733165908021
