stage,count,total_ead,total_ecl,ecl_pct_ead,coverage_ratio
Stage 1,189633,1417203315.73,30272773.852482248,2.1360925081443782,0.02136092508144378
Stage 2,26554,169366237.98,24404478.24503577,14.409293455474655,0.14409293455474656
Stage 3,19441,240003088.77,223799357.4574865,93.24853217699966,0.9324853217699965
Total Portfolio,235628,1826572642.48,278476609.5550045,15.245854617471291,0.1524585461747129
