vintage_year,n_loans,baseline_default_12m,baseline_default_12m_rate,strict_default_12m,strict_default_12m_rate
2007,603,31,0.05140961857379768,31,0.05140961857379768
2008,2393,157,0.06560802340158796,157,0.06560802340158796
2009,5281,245,0.04639272864987692,245,0.04639272864987692
2010,12537,433,0.03453776820610992,433,0.03453776820610992
2011,21721,772,0.035541641729202156,772,0.035541641729202156
2012,53367,1993,0.037345175857739804,1993,0.037345175857739804
2013,134755,4280,0.03176134466253571,4280,0.03176134466253571
2014,235628,8107,0.034405927988184766,8048,0.03415553329824978
