vintage_year,n_loans,n_ever_default,ever_default_rate,n_default_12m,default_12m_rate
2007,603,158,0.2620232172470978,31,0.05140961857379768
2008,2393,496,0.20727120768909318,157,0.06560802340158796
2009,5281,723,0.1369058890361674,245,0.04639272864987692
2010,12537,1759,0.14030469809364282,433,0.03453776820610992
2011,21721,3259,0.15003913263661894,772,0.035541641729202156
2012,53367,8334,0.15616392152453765,1993,0.037345175857739804
2013,134755,16798,0.12465585692553152,4280,0.03176134466253571
2014,235628,19441,0.08250717232247441,8107,0.034405927988184766
