segment,category,count,total_ead,total_el,el_pct_ead,mean_pd,mean_lgd
Overall,All Portfolio,235628,1826572642.48,58666169.31281012,3.2118169268733308,0.03446927020875694,0.9339263620417134
By Grade,A,36108,221209241.42,2138197.381151643,0.9665949611444778,0.011027539470316379,0.934350014798981
By Grade,B,61935,389715718.6,6793880.720365426,1.7432914291400678,0.020472101241729348,0.9357118994866039
By Grade,C,66565,508147783.93,15101496.299087718,2.9718709353198767,0.03540977042782412,0.9367649714525241
By Grade,D,42991,403007108.84,17029658.91492103,4.225647275537779,0.05046993886562347,0.9331777253854161
By Grade,E,20121,215856557.4,11436735.28738977,5.298303384963448,0.06314820817361187,0.925211133605737
By Grade,F,6223,66470619.04,4591984.446406163,6.908291983324011,0.08351143333015913,0.9202574426326675
By Grade,G,1685,22165613.25,1574216.2634883781,7.1020650127439096,0.08231570241740903,0.9207328216822466
By Vintage,2014,235628,1826572642.48,58666169.31281013,3.2118169268733308,0.03446927020875694,0.9339263620417134
