segment,category,count,total_ead,irb_rwa,std_rwa,irb_rw_pct,std_rw_pct,min_total_capital_8pct,min_tier1_capital_6pct,min_cet1_capital_4.5pct
Overall,All Portfolio,235628,1826572642.48,2294666890.8173523,1369929481.8600001,125.626916633428,75.0,183573351.2653882,137680013.44904113,103260010.08678085
By Grade,A,36108,221209241.42,208371169.25100258,165906931.065,94.19641237111684,75.0,16669693.540080206,12502270.155060153,9376702.616295116
By Grade,B,61935,389715718.6,449945003.1762553,292286788.95,115.45467162387513,75.0,35995600.25410043,26996700.190575317,20247525.142931487
By Grade,C,66565,508147783.93,659304543.3702614,381110837.9475,129.7466139222766,75.0,52744363.46962091,39558272.602215685,29668704.45166176
By Grade,D,42991,403007108.84,547819062.0279244,302255331.63,135.93285329500654,75.0,43825524.96223395,32869143.721675463,24651857.7912566
By Grade,E,20121,215856557.4,300377626.4792894,161892418.05,139.15612761425862,75.0,24030210.118343152,18022657.588757366,13516993.191568023
By Grade,F,6223,66470619.04,96556623.78030382,49852964.28,145.26211004925196,75.0,7724529.902424306,5793397.426818229,4345048.070113672
By Grade,G,1685,22165613.25,32292862.732315484,16624209.9375,145.68901102844734,75.0,2583429.0185852386,1937571.763938929,1453178.8229541967
