variable,coefficient,std_err,p_value,significant,positive_sign_flag
const,-3.338033983761166,0.013233429207097412,0.0,True,False
inq_last_6mths,-1.0844990568428585,0.0440229890925358,5.350925820263967e-134,True,False
annual_inc,-0.9755935005626747,0.058061147633108705,2.3254398597354392e-63,True,False
purpose,-0.9386059107349009,0.05668765892820641,1.4134629027690826e-61,True,False
home_ownership,-0.7789452522451575,0.0743721108667534,1.141904823676082e-25,True,False
term,-1.1989186158625496,0.08119075511599609,2.402285055542706e-49,True,False
dti,-0.6835411671635325,0.08546137370741201,1.262031200251574e-15,True,False
revol_util,-1.177748215983892,0.08542859142951778,3.0796359922925176e-43,True,False
