stage,count,total_ead,mean_pd_12m,count_pct,ead_pct
Stage 1,189633,1417203315.73,0.027287111461443272,80.47982412956016,77.58811682440478
Stage 2,26554,169366237.98,0.07637950414907464,11.269458638192404,9.272351618605525
Stage 3,19441,240003088.77,1.0,8.25071723224744,13.139531556989686
Total,235628,1826572642.48,0.11307534826481742,100.0,100.0
