grade,total_loans,Fully Paid,Current,Late,Default
A,74769,0.4875683772686541,0.4706629752972489,0.007569982211879255,0.03419866522221776
B,136575,0.4463628043199707,0.46867289035328574,0.016825919824272378,0.06813838550247117
C,124664,0.367531925816595,0.508173971635757,0.026599499454533788,0.09769460309311429
D,76197,0.34238880795831855,0.4916204050028216,0.03527697940863814,0.13071380763022167
E,35221,0.3000766588115045,0.48916839385593824,0.04494477726356435,0.16581017006899293
F,12982,0.3024957633646588,0.438838391619165,0.0489909104914497,0.20967493452472655
G,3128,0.2937979539641944,0.4120843989769821,0.056585677749360616,0.2375319693094629
