lgd_approach,mean_lgd,total_ead,total_rwa,risk_weight_pct,min_capital_8pct,tier1_capital_6pct,cet1_capital_4.5pct
Average LGD,0.9339263620417134,1826572642.48,2294666890.8173523,125.626916633428,183573351.2653882,137680013.44904113,103260010.08678085
Downturn LGD (+8pp add-on),0.9991975402377341,1826572642.48,2453921077.144412,134.34566028606667,196313686.17155296,147235264.6286647,110426448.47149853
Downturn Capital Increase (Delta),0.06527117819602068,0.0,159254186.32705975,8.718743652638679,12740334.906164765,9555251.179623585,7166438.384717688
