grade,score_min,score_max,n_loans,n_defaults,observed_default_rate,portfolio_share
1,605,626,22195,247,0.011128632574904257,0.1202818046335185
2,598,604,23317,457,0.01959943388943689,0.12636228153366752
3,593,597,22039,475,0.021552702028222695,0.11943639073296301
4,588,592,23832,656,0.027526015441423298,0.12915323126947567
5,584,587,19448,636,0.032702591526120935,0.10539493293591655
6,578,583,25737,1015,0.039437385864708394,0.13947703563202818
7,570,577,24247,1178,0.048583329896482036,0.13140224901774827
8,501,569,23710,1665,0.07022353437368199,0.12849207424468229
