vintage_year,total_loans,default_rate_mob_12,default_rate_mob_18,default_rate_mob_24,default_rate_mob_12_pct,default_rate_mob_18_pct,default_rate_mob_24_pct
2007,603,0.05140961857379768,0.13930348258706468,0.19402985074626866,5.140961857379768,13.930348258706468,19.402985074626866
2008,2393,0.06560802340158796,0.11408274132887589,0.1525282072712077,6.560802340158796,11.40827413288759,15.252820727120769
2009,5281,0.04639272864987692,0.07328157545919334,0.09884491573565612,4.639272864987691,7.328157545919334,9.884491573565612
2010,12537,0.03453776820610992,0.06165749381829784,0.08319374651032943,3.4537768206109916,6.165749381829784,8.319374651032943
2011,21721,0.035541641729202156,0.0650522535794853,0.08972883384742876,3.5541641729202156,6.50522535794853,8.972883384742875
2012,53367,0.037345175857739804,0.07167350609927484,0.10186070043285177,3.7345175857739803,7.1673506099274835,10.186070043285177
2013,134755,0.03176134466253571,0.06343363882601759,0.09286482876331119,3.176134466253571,6.343363882601759,9.28648287633112
2014,235628,0.034405927988184766,0.06772964163851494,0.08144193389580186,3.440592798818477,6.772964163851494,8.144193389580186
